EO	IY OW
IMMIGRANTS  IH M AH G R AH N T S
TRINACRIA	T R AY N AE K R IY AH
BRANCHED  B R AE N CH T
SUBVERTED  S AH B V ER T IH D
SOL  S AA L
PAUPER'S	P AO P ER Z
PLUTONIANS	P L UW T OW N IY AH N Z
JEROMIO	JH EH R AH M IY OW
ADAH  AE D AA
TRIBESMEN  T R AY B Z M IH N
CABINET  K AE B AH N AH T
INCULCATE  IH NG K AH L K EY T
BASKERVILLE  B AE S K ER V IH L
ALDITH	AA L D IH TH
FISTES	F IH S T S
MIZKA	M IH K AH
GENUINELY  JH EH N Y AH W AH N L IY
TAMPICO	T AA M P IY K OW
COUVENT	K UW V AH N T
STRUVE  S T R UW V
SPIR	S P IH R
CARDROSS	K AA R D R AO S
NUMERUS	N UW M ER AH S
WREXHILL	R EH K S HH IH L
SENBORN	S IH N B ER N
LEVITICAL	L IH V IH T AH K AH L
DALBARADE	D AE L B AA R AA D IY
HUMILIATES  HH Y UW M IH L IY EY T S
SEGNOR	S EH G N ER
PROCEDURE  P R OW S IY JH ER
WE'LL  W IY L
ROSCELIN	R AA S IH L IH N
DOWNHAM  D AW N HH AH M
MEANING  M IY N IH NG
FIN  F IH N
MEURTHE	M ER TH
JEDGIN	JH EH JH IH N
FLORENTINA  F L AO R EH N T IY N AH
FOXEY	F AA K S IY
EFFULGENCES	IH F AH L JH EH N S AH Z
BABYKINS	B EY B IY K IH N Z
LEASEHOLDER	L IY S HH OW L D ER
ARMINIGEL	AA R M AH N IH G AH L
PANNING  P AE N IH NG
SLAUGHTER'D	S L AO T ER D
ANGLEFORD	AE NG G AH L F ER D
UPROUND	AH P R AW N D
COCAINE  K OW K EY N
DRIGGS  D R IH G Z
SHOS	SH AA S
PETTERSEN  P EH T ER S AH N
BEANED	B IY N D
INTERMINGLES	IH N T ER M IH NG G AH L Z
GRANTHUM	G R AE N TH AH M
CHEMISTS  K EH M AH S T S
DAKIE	D AE K IY
WIEGANDT	W IY G AH N T
Y'D	Y D
BEAMES	B IY M Z
PARTEZ	P AA R T EH Z
IMITATIVENESS	IH M AH T EY T IH V N AH S
WILKINSON  W IH L K AH N S AH N
TYNDALL'S	T IH N D AH L Z
SCHOLARIUS	S K AA L ER AY AH S
REBBY	R EH B IY
KALIS  K AE L IH S
BANGS  B AE NG Z
NIGRAN	N IH G R AH N
SPEEDINESS	S P IY D IY N AH S
CLIMATICALLY	K L AY M AE T IH K L IY
SWIPE  S W AY P
DRISCOLL'S	D R IH S K AA L Z
HONJO	HH AA N JH OW
GATEMEN	G EY T M AH N
EXECRATION	EH K S AH K R EY SH AH N
PAVIN	P AE V IH N
WENTWORTHS	W EH N T W ER TH S
MONCTON	M AA NG K T AH N
CUIVACA	K W IH V AA K AH
RESURGED	R IY S ER JH D
BLEWITT  B L UW IH T
FURNESS'S	F ER N IH S IH Z
SOMERSBY	S AH M ER S B IY
GONES	G OW N Z
FAHRENHEIT  F EH R AH N HH AY T
KAXORIANS	K AE K S AO R IY AH N Z
WRINKLE  R IH NG K AH L
CONFEDERATED	K AH N F EH D ER EY T IH D
VOORSANGER	V UH R S AE NG ER
INTESTACY	IH N T EH S T AH S IY
SAEVA	S EY V AH
ESSY'S	EH S IY Z
AGONISING	AE G AH N AY Z IH NG
SOLIDIFIED  S AH L IH D AH F AY D
ANNUL  AE N AH L
EULOGIZE  Y UW L AH JH AY Z
STENTORS  S T EH N T ER Z
SIMULATIONS  S IH M Y UW L EY SH AH N Z
IMPERATOR	IH M P EH R AH T ER
